,expediente,producto,titular,registrosanitario,fechaexpedicion,fechavencimiento,estadoregistro,expedientecum,consecutivocum,cantidadcum,descripcioncomercial,estadocum,fechaactivo,fechainactivo,muestramedica,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad,unidadreferencia,formafarmaceutica,nombrerol,tiporol,modalidad
126,20002706,DIMETAPP ® GRIPA CÁPSULAS.,A.H. ROBINS S.A.S.,INVIMA 2010M-0010510,03/03/2010,04/06/2020,Vigente,20002706,13,4.0,MUESTRA MÉDICA: BLÍSTER DE ALUMINIO / PVC TRANSPARENTE POR 4 CÁPSULAS BLANCA-PÚRPURA,Activo,04/16/2019,,Si,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,ACETAMINOFEN,mg,500.0,CÁPSULA DURA,CAPSULA DURA,CLARIPACK S.A.,FABRICANTE,FABRICAR Y VENDER
127,20093155,EPIBALIN 75 MG CÁPSULAS,MSN LABORATORIES PRIVATE LTD-INDIA,INVIMA 2016M-0016867,02/25/2016,03/11/2021,Vigente,20093155,1,10.0,CAJA X 1 BLISTER ALU-PVC/PVDC TRANSPARENTE X10 CAPSULAS,Activo,10/21/2015,,No,U,N03AX16,PREGABALINA,ORAL,A,PREGABALINA,mg,75.0,CAPSULAS,CAPSULA DURA,MSN LABORATORIES PRIVATE LTD-INDIA,FABRICANTE,IMPORTAR Y VENDER
128,20008303,CEUMID 250 MG,SCANDINAVIA PHARMA LTDA.,INVIMA 2010M-0010579,03/18/2010,04/05/2020,Vigente,20008303,3,30.0,CAJA POR 30 COMPRIMIDOS RECUBIERTOS EN BLISTER ALUMINIO/PVC.,Activo,09/28/2009,,No,U,N03AX14,LEVETIRACETAM,ORAL,A,LEVETIRACETAM,mg,250.0,TABLETA RECUBIERTA,TABLETA RECUBIERTA,ROEMMERS S.A.,FABRICANTE,IMPORTAR Y VENDER
129,19908092,AMOXIDAL DUO COMPRIMIDOS,SCANDINAVIA PHARMA LTDA.,INVIMA 2015 M-014496-R2,01/01/1999,12/03/2020,Vigente,19908092,5,14.0,CAJA POR 14 COMPRIMIDOS RECUBIERTOS EN BLISTER AL /PVC (2 BLISTER X 7),Inactivo,11/05/2010,10/29/2015,No,U,J01CA04,AMOXICILINA,ORAL,A,AMOXICILINA TRIHIDRATO EQUIVALENTE A 875 MG DE AMOXICILINA,mg,1006.205,COMPRIMIDO,TABLETA CUBIERTA CON PELICULA,SCANDINAVIA PHARMA LTDA.,IMPORTADOR,IMPORTAR Y VENDER
130,20099899,SITRAN® INYECTABLE 6 MG/0.3 ML,FARMACOL CHINOIN S.A.S..,INVIMA 2016M-0016782,02/03/2016,02/24/2021,Vigente,20099899,2,1.0,MUESTRA MÉDICA: CAJA X 1 ESTUCHE DE PP NEGRO Y GRIS. CON JERINGA DE VIDRIO INCOLORO TIPO I. PREENVASADA CON 0.3 ML DE SOLUCIÓN INYECTABLE. CONTIENE AGUJA CON REGISTRO SANITARIO NO. INVIMA 2008DM-0001813,Activo,01/15/2016,,Si,U,N02CC01,SUMATRIPTAN,SUBCUTANEA,A,SUMATRIPTAN SUCCINATO 8.4 MG EQUIVALENTES A SUMATRIPTAN,mg,6.0,JERINGA PRELLENADA X 0.3 ML DE SOLUCIÓN INYECTABLE,SOLUCION INYECTABLE,FARMACOL CHINOIN S.A.S..,FABRICANTE,FABRICAR Y VENDER
131,20002706,DIMETAPP ® GRIPA CÁPSULAS.,A.H. ROBINS S.A.S.,INVIMA 2010M-0010510,03/03/2010,04/06/2020,Vigente,20002706,21,100.0,CAJA X 100 CÁPSULAS CON 25 BLÍSTER DE ALUMINIO/PVC TRANSPARENTE POR 4 CÁPSULAS BLANCA-PÚRPURA CADA UNO,Activo,04/16/2019,,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,CAFEINA ANHIDRA,mg,30.0,CÁPSULA DURA,CAPSULA DURA,COLOMPACK S.A.,FABRICANTE,FABRICAR Y VENDER
132,20086885,MOVIPREN® ULTRA TABLETAS RECUBIERTAS,LABORATORIOS BUSSIÉ S.A.,INVIMA 2015M-0016464,10/26/2015,11/13/2020,Vigente,20086885,8,10.0,MUESTRA MEDICA CAJA X 10 TABLETAS EN BLISTER PVC/PVDC/ALUMINIO,Activo,05/20/2015,,Si,U,M03BX05,TIOCOLCHICOSIDA,ORAL,A,IBUPROFENO COMPRESION DIRECTA 66% (909.09 MG EQUIVALENTE A 600MG),mg,600.0,TABLETA,TABLETA RECUBIERTA,FABRICANTE MICROGRANULOS: M/S GRANULES INDIA LIMITED,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
133,20051856,EVELY TABLETAS RECUBIERTAS,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2018M-0013906-R1,12/10/2012,05/29/2023,Vigente,20051856,2,28.0,MUESTRA MEDICA: ESTUCHE X 28 TABLETAS EN BLISTER PVC-TRANSPARENTE/ALUMINIO: COMPRIMIDO I: 2 COMPRIMIDOS DE VALERATO ESTRADIOL. COMPRIMIDO II: 5 COMPRIMIDOS CON 2 MG VALERATO ESTRADIOL Y 2 MG DIENOGEST. COMPRIMIDO III: 17 COMPRIMIDOS CON 2 MG VALERATO ESTRADIOL Y 3 MG DIENOGEST. COMPRIMIDO IV: 2 COMPRIMIDOS CON 1 MG VALERATO ESTRADIOL. COMPRIMIDO V: 2 COMPRIMIDOS DE PLACEBO,Activo,03/05/2015,,Si,U,G03AB08,DIENOGEST Y ESTRADIOL,ORAL,A,COMPRIMIDO 3: VALERATO ESTRADIOL,mg,2.0,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
134,19906274,NORDETTE ® GRAGEAS,PFIZER S.A.S.,INVIMA 2016M-014475-R2,06/09/2000,11/22/2021,Vigente,19906274,19,42.0,MUESTRA MEDICA: CAJA POR 42 GRAGEAS EN 2 BLISTER PVC/ALUMINIO,Activo,10/06/2016,,Si,U,G03AA07,LEVONORGESTREL Y ETINILESTRADIOL,ORAL,A,ETINILESTRADIOL,mg,0.03,GRAGEA,TABLETA CUBIERTA (GRAGEA),PFIZER S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
135,20086892,WELLFLEX®,HEALTHY AMERICA COLOMBIA S.A.S.,INVIMA 2015M-0016722,12/18/2015,02/10/2021,Vigente,20086892,1,60.0,CAJA CON 1 FRASCO DE PEAD BLANCO X 60 TABLETAS CON CUBIERTA ENTÉRICA. TAPA DE PP BLANCA.,Activo,11/27/2015,,No,U,M01AX98,GLUCOSAMINA SULFATO. CONDROITINA SULFATO Y METILSULFONILMETANO,ORAL,A,GLUCOSAMINA SULFATO 2KCL,mg,750.0,TABLETA CON CUBIERTA ENTÉRICA,TABLETA CON CUBIERTA ENTERICA CON PELICULA,ROBINSON PHARMA. INC.,FABRICANTE,IMPORTAR Y VENDER
136,20156134,CARBOCISTEINA 50MG/ML,AMERICAN GENERICS S.A.S,INVIMA 2019M-0018899,03/27/2019,04/23/2024,Vigente,20156134,1,1.0,CAJA PLEGADIZA CON FRASCO VIDRIO AMBAR Y TAPA BLANCA POR 30 ML,Activo,03/07/2019,,No,U,R05CB01,ACETILCISTEINA,ORAL,C,S-CARBOXIMETILCISTEINA,mg,50.0,1 ML (20 GOTAS) DE SOLUCION ORAL,SOLUCION ORAL,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
137,19906441,VISIPAQUE 270MG I /ML,GE HEALTHCARE A.S.,INVIMA 2016M-014798-R2,01/01/1999,12/15/2021,Vigente,19906441,2,50.0,FRASCO DE VIDRIO TIPO I POR 50ML. CON TAPÓN DE CLOROBUTILO. SELLADO CONAGRAFE DE ALUMINIO Y TAPA DE POLIPROPILENO,Inactivo,11/10/2006,11/22/2016,No,ml,V08AB09,IODIXANOL,INTRAVENOSA,A,IODIXANOL 550 MG EQUIVALENTE A YODO,mg,270.0,ML,SOLUCION INYECTABLE,GE HEALTHCARE (SHANGHAI) CO.. LTD,FABRICANTE,IMPORTAR Y VENDER
138,20082710,KABICTAM®,FRESENIUS KABI PHARMA PORTUGAL LTDA.,INVIMA 2016M-0017134,06/27/2016,07/29/2021,Vigente,20082710,3,5.0,MUESTRA MEDICA CAJA CON 5 VIALES DE VIDRIO INCOLORO TIPO II DE 50 ML CON TAPON DE GOMA DE CLOROBUTILO CON AGRAFE DE ALUMINIO TIPO FLIP OFF,Activo,09/25/2017,,No,U,J01CR05,PIPERACILINA E INHIBIDOR ENZIMATICO,INTRAVENOSA,A,TAZOBACTAM SODICO 536.65MG EQUIVALENTE A TAZOBACTAM,mg,500.0,VIAL CON POLVO LIOFILIZADO,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,LABESFAL - LABORATORIOS ALMIRO S.A.,FABRICANTE,IMPORTAR Y VENDER
139,20130630,IPCA ZITRAM,IPCA LABORATORIES LIMITED,INVIMA 2019M-0018694,01/08/2019,01/22/2024,Vigente,20130630,12,1.0,MUESTRA MEDICA-CAJA POR 1 TABLETA RECUBIERTA EN BLISTER PVDC/ALUMINIO,Activo,12/27/2018,,Si,U,N02AX52,TRAMADOL COMBINACIONES,ORAL,A,TRAMADOL CLORHIDRATO,mg,37.5,TABLETA RECUBIERTA,TABLETA RECUBIERTA,IPCA LABORATORIES LIMITED,FABRICANTE,IMPORTAR Y VENDER
140,19930589,UTROGESTAN 200 MG CÁPSULAS,BESINS HEALTHCARE BENELUX S.A.,INVIMA 2014M-0003046-R1,01/26/2004,01/06/2020,Vigente,19930589,2,8.0,MUESTRA MEDICA POR 8 CAPSULAS EN BLISTER PVC/ALUMINIO,Activo,11/10/2006,,Si,U,G03DA04,PROGESTERONA,VAGINAL,A,PROGESTERONA MICRONIZADA,mg,200.0,CAPSULA BLANDA,CAPSULA BLANDA,CYNDEA PHARMA. S.L.,FABRICANTE,IMPORTAR Y VENDER
141,20009806,GRIPOFEN CAPSULAS,LABORATORIOS SERES LTDA,INVIMA 2010M-0010823,05/25/2010,06/03/2020,Vigente,20009806,5,5.0,SOBRE POR 5 CAPSULA EN BLISTER PVC/ALUMINIO,Activo,09/14/2012,,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,CETIRIZINA CLORHIDRATO,mg,5.0,CAPSULA,CAPSULA DURA,FABRIFARMA S.A.,FABRICANTE,FABRICAR Y VENDER
142,20004997,BOTOX® BTX-A® 50,ALLERGAN INC.,INVIMA 2009M-0009951,08/25/2009,09/09/2019,Vigente,20004997,1,1.0,CAJA CON UN VIAL DE VIDRIO TIPO TRANSPARENTE TIPO I CON EL POLVO ESTERIL TAPON DE BUTILO GRIS. TAPA DE POLIPROPILENO FLIP-OFF Y,Activo,05/26/2009,,No,U,M03AX01,TOXINA BOTULINICA,INTRADERMAL,A,TOXINA BOTULINICA TIPO A (CLOSTRIDIUM BOULINUM),U,50.0,VIAL,POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE,ALLERGAN DE COLOMBIA S.A.,IMPORTADOR,IMPORTAR Y VENDER
143,20086885,MOVIPREN® ULTRA TABLETAS RECUBIERTAS,LABORATORIOS BUSSIÉ S.A.,INVIMA 2015M-0016464,10/26/2015,11/13/2020,Vigente,20086885,5,50.0,CAJA X 50 TABLETAS EN BLISTER PVC/PVDC/ALUMINIO,Activo,05/20/2015,,No,U,M03BX05,TIOCOLCHICOSIDA,ORAL,A,TICOLCHICOSIDO,mg,8.0,TABLETA,TABLETA RECUBIERTA,GLOBAL PHARMA & LOGISTICS S.A.S,IMPORTADOR,IMPORTAR. SEMIELABORAR Y VENDER
144,20005966,DRISTAN® TRIPLE ACCION NF,PFIZER S.A.S.,INVIMA 2009M-0010189,11/03/2009,11/19/2019,Vigente,20005966,7,4.0,PORTASOBRE X 4 TABLETAS (1 BLISTER X 4 TABLETAS),Activo,06/29/2009,,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,ACETAMINOFEN,mg,500.0,CADA TABLETA,TABLETA,PFIZER S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
145,20149284,EZETIMIBE / ROSUVASTATINA  10 MG/20MG.,LABORATORIOS MK S.A.S.,INVIMA 2019M-0018842,03/04/2019,04/12/2024,Vigente,20149284,1,30.0,IUM: 2E1020421000100CAJA PLEGADIZA DE CARTULINA POR 30 TABLETAS CUBIERTAS EN BLISTER ALUMINIO-ALUMINIO (COLDFORM OPA/ALU/PVC-ALUMINIO) POR 10 TABLETAS CUBIERTAS CADA UNO.,Activo,12/27/2018,,No,U,C10BA06,ROSUVASTATINA Y EZETIMIBA,ORAL,A,EZETIMIBE,mg,10.0,TABLETAS CUBIERTAS CON PELICULA,TABLETA CUBIERTA CON PELICULA,TECNOQUIMICAS S.A.,FABRICANTE,FABRICAR Y VENDER
146,20002706,DIMETAPP ® GRIPA CÁPSULAS.,A.H. ROBINS S.A.S.,INVIMA 2010M-0010510,03/03/2010,04/06/2020,Vigente,20002706,13,4.0,MUESTRA MÉDICA: BLÍSTER DE ALUMINIO / PVC TRANSPARENTE POR 4 CÁPSULAS BLANCA-PÚRPURA,Activo,04/16/2019,,Si,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,CETIRIZINA CLORHIDRATO,mg,5.0,CÁPSULA DURA,CAPSULA DURA,CLARIPACK S.A.,FABRICANTE,FABRICAR Y VENDER
147,19960664,GIRAPROX® 500 MG TABLETAS RECUBIERTAS,FARMACOOP,INVIMA 2018M-0006251-R1,08/17/2006,12/18/2023,Vigente,19960664,3,6.0,CAJA PLEGADIZA POR 6 TABLETAS EN BLÍSTER PVC/ALUMINIO. 1 BLÍSTER POR 6 TABLETAS.,Activo,04/17/2019,,Si,U,J01MA02,CIPROFLOXACINA,ORAL,A,CIPROFLOXACINO CLORHIDRATO EQUIVALENTE A CIPROFLOXACINO BASE,mg,500.0,TABLETA RECUBIERTA,TABLETA RECUBIERTA,COASPHARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER
148,27190,HUMULIN N SUSPENSION INYECTABLE,ELI LILLY AND COMPANY,INVIMA 2016M-008939-R3,04/22/1995,09/29/2021,Vigente,27190,4,5.0,CAJA X 5 KWIKPEN ( DISPOSITIVOS INYECTORES. CADA UNO CONTIENE UN CARTUCHO DE VIDRIO TIPO I X 3 ML),Activo,07/13/2012,,No,U,A10AC01,INSULINA (HUMANA),SUBCUTANEA,A,INSULINA ZINC ISOFANA HUMANA (ORIGEN ADN RECOMBINANTE),IU,100.0,ML.,SUSPENSION INYECTABLE,LILLY FRANCE,FABRICANTE,IMPORTAR Y VENDER
149,20061746,SMOFKABIVEN® LIBRE DE ELECTROLITOS CENTRAL. EMULSION PARA INFUSION,FRESENIUS KABI AB,INVIMA 2014M-0015496,12/02/2014,12/26/2019,Vigente,20061746,6,1.0,BOLSA BIOFINE TRICAMERAL POR 1206 ML.,Activo,05/16/2018,,Si,U,B05BA10,COMBINACIONES,INTRAVENOSA,A,TRIGLICERIDOS DE CADENA MEDIA,g,11.4,SIN DATO,EMULSION INYECTABLE,FRESENIUS AUSTRIA GMBH,FABRICANTE,IMPORTAR Y VENDER
150,227028,PROCTO - GLYVENOL® SUPOSITORIOS,GLAXOSMITHKLINE CONSUMER HEALTHCARE COLOMBIA S.A.S,INVIMA 2018 M-011163-R2,07/10/1998,07/05/2023,Vigente,227028,2,5.0,MUESTRA MEDICA: CAJA CON TIRA DE ALUMINIO-POLIETILENO POR 5 SUPOSITORIOS,Activo,09/19/2013,,Si,U,N01BB52,LIDOCAINA COMBINACIONES,RECTAL,A,LIDOCAINA,mg,40.0,SUPOSITORIO,SUPOSITORIO,DELPHARM HUNINGUE S.A.S,FABRICANTE,IMPORTAR Y VENDER
151,20096050,EPTAVIS ADULTOS 3G.,CENTRO SPERIMENTALE DEL LATTE SPA- ZELO BUON PERSICO,INVIMA 2015M-0016363,10/08/2015,10/26/2020,Vigente,20096050,2,10.0,PRESENTACIÓN COMERCIAL: CAJA PLEGADIZA CON 10 SOBRES DE PET/AL/PE POR 3 G CADA UNO.,Activo,09/23/2015,,No,U,G01AX14,LACTOBACILOS FERMENTO,ORAL,A,LACTOBACILLUS DELBRUECKII SUBSP. BULGARICUS MINIMO,million organisms,300.0,SOBRE POR 3G DE GRANULADO,GRANULOS,SERVIZIO INTERNAZIONALE IMBALLAGGI TERMOSALD,FABRICANTE,IMPORTAR Y VENDER
152,20066786,CAXETA® 500,SUN PHARMACEUTICAL INDUSTRIES LTD.,INVIMA 2014M-0015343,10/16/2014,11/13/2019,Vigente,20066786,7,28.0,CAJA X 7 BLISTER ALU - ALU X 4 TABLETAS CADA UNO,Activo,09/29/2014,,No,U,L01BC06,CAPECITABINA,ORAL,A,CAPECITABINA,mg,500.0,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIOS LASANTE S.A.,IMPORTADOR,IMPORTAR Y VENDER
153,20076204,KETESSE® 50 MG/2 ML INYECTABLE,MENARINI INTERNATIONAL OPERATIONS,INVIMA 2016M-0016834,02/12/2016,03/10/2021,Vigente,20076204,61,1.0,MUESTRA MEDICA:CAJA POR 1 AMPOLLA DE VIDRIO ÁMBAR TIPO I CON 2 ML DE SOLUCIÓN TRANSPARENTE INCOLORA CON ETIQUETA AUTOADHESIVA Y EN CUNA PLÁSTICA DE PVC SELLADA EN LAMINA EN POLIÉSTER METALIZADO /POLIETILENO,Activo,01/19/2018,,No,U,M01AE17,DEXKETOPROFENO,INTRAVENOSA,A,DEXKETOPROFENO TROMETAMOL EQUIVALENTE A DEXKETOPROFENO,mg,50.0,AMPOLLA DE 2 ML,SOLUCION INYECTABLE,LABORATORIOS BUSSIE S.A,IMPORTADOR,IMPORTAR Y VENDER
154,20138566,ESCITAVITAE® 20MG TABLETAS RECUBIERTAS,GALENICUM HEALTH COLOMBIA S.A.S.,INVIMA 2019M-0018940,04/10/2019,05/03/2024,Vigente,20138566,3,28.0,1E1005031003102 ESCITALOPRAM 20.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (ESCITAVITAE) TABLETA 1.0000U / CAJA X 28. CAJA POR 28 TABLETAS RECUBIERTAS COLOR BLANCO EN BLÍSTER DE PVC/PVDC/PVC TRANSPARENTE Y ALUMINIO.,Activo,10/23/2018,,No,U,N06AB10,ESCITALOPRAM,ORAL,A,ESCITALOPRAM OXALATO 25.55 MG EQUIVALENTE A ESCITALOPRAM,mg,20.0,TABLETA RECUBIERTA COLOR BLANCO,TABLETA RECUBIERTA,EUROPEAN PHARMA SOLUTION S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
155,20001247,EPIDUO®,GALDERMA S.A.,INVIMA 2019M-0009335-R1,03/05/2009,04/25/2024,Vigente,20001247,7,30.0,CAJA CON FRASCO AIRLESS REDONDO EN POLIPROPILENO CON CIERRE PUMP EN PEBD Y POLIPROPILENO BLANCO POR 30 G.,Activo,03/09/2017,,No,g,D10AD53,ADAPALENO. COMBINACIONES,TOPICA (EXTERNA),D,ADAPALENO,g,0.1,CADA 100 G CONTIENEN,GEL TOPICO,GALDERMA DE COLOMBIA S.A.,IMPORTADOR,IMPORTAR Y VENDER
156,20002706,DIMETAPP ® GRIPA CÁPSULAS.,A.H. ROBINS S.A.S.,INVIMA 2010M-0010510,03/03/2010,04/06/2020,Vigente,20002706,18,8.0,CAJA X 8 CÁPSULAS CON 2 BLÍSTER DE ALUMINIO/PVC TRANSPARENTE POR 4 CÁPSULAS BLANCA-PÚRPURA CADA UNO,Activo,04/16/2019,,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,CETIRIZINA CLORHIDRATO,mg,5.0,CÁPSULA DURA,CAPSULA DURA,COLOMPACK S.A.,FABRICANTE,FABRICAR Y VENDER
157,20038476,OMEPRAZOL 20 MG CAPSULA DURA,COLMED LTDA,INVIMA 2018M-0012665-R1,11/16/2011,02/07/2023,Vigente,20038476,66,60.0,CAJA POR 60 CÁPSULAS DURAS EN EMPAQUE INDIVIDUAL TIPO BLISTER ALU/PVC. POR 15 CÁPSULAS DURAS CADA UNO,Activo,01/22/2018,,No,U,A02BC01,OMEPRAZOL,ORAL,A,OMEPRAZOL MICROGRANULOS 85.9 MG/G (EQUIVALENTE A 20.00MG DE OMEPRAZOL),mg,232.8,CÁPSULA DURA,CAPSULA DURA,M/S NOSCH LABS PVT. LTD,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
158,20010695,CRONOGRYP ULTRA,GRUPO FARMACEUTICO CRONOMED S.A.S,INVIMA 2010M-0010326,01/26/2010,02/11/2020,Vigente,20010695,1,10.0,ESTUCHE DE CARTON POR 10 CAPSULAS EN BLISTER POR 10 CAPSULAS,Activo,10/14/2009,,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,CAFEINA,mg,30.0,CAPSULA,CAPSULA DURA,NUTRI MACK S.A.S.,FABRICANTE,FABRICAR Y VENDER
159,19922144,GEODON ® CAPSULAS 40 MG,PFIZER S.A.S.,INVIMA 2017M-0000777-R2,11/29/2001,04/04/2022,Vigente,19922144,9,50.0,CAJA X 50 CAPSULAS EN BLISTER PVC/ALUMINIO POR 10 CAPSULAS C/U.,Activo,11/10/2006,,No,U,N05AE04,ZIPRASIDONA,ORAL,A,ZIPRASIDONA CLORHIDRATO MONOHIDRATO (45.3 MG) EQUIVALENTE A ZIPRASIDONA,mg,40.0,CAPSULA,CAPSULA DURA,PFIZER IRELAND PHARMACEUTICALS,FABRICANTE,IMPORTAR Y VENDER
160,20043344,ROSUVINA LEGRAND® E 10/20,LABORATORIOS LEGRAND S.A.,INVIMA 2018M-0013774-R1,11/14/2012,12/20/2023,Vigente,20043344,15,14.0,USO INSTITUCIONAL CAJA PLEGADIZA X 14 TABLETAS EN BLISTER PVC/PVDC/ALUMINIO Y BOLSA SACHET,Inactivo,05/19/2017,01/09/2019,No,U,C10AX09,EZETIMIBE,ORAL,A,20.84 MG DE ROSUVASTATINA CALCICA. EQUIVALENTE A ROSUVASTATINA BASE,mg,20.0,TABLETA,TABLETA RECUBIERTA,LABORATORIOS LEGRAND S.A.,FABRICANTE,FABRICAR Y VENDER
161,1982255,TRIDERM® CREMA,MERCK SHARP & DOHME CORP.,INVIMA 2016M-005928-R3,01/01/1999,07/25/2021,Vigente,1982255,11,3.0,MUESTRA MEDICA: CAJA CON 1 TUBO POR 3G EN ALUMINIO CON RESINA EPOXIFENÓLICA Y TAPA DE POLIETILENO DE ALTA DENSIDAD,Activo,02/24/2016,,Si,g,D07CC01,BETAMETASONA Y ANTIBIOTICOS,TOPICA (EXTERNA),D,BETAMETASONA DIPROPIONATO 0.0643G EQUIVALENTE  BETAMETASONA BASE,g,0.05,100 G DE CREMA,CREMA TOPICA,EUROFARMA COLOMBIA S.A.S,FABRICANTE,FABRICAR Y VENDER
162,20091271,XALKORI® 250 MG CÁPSULAS,PFIZER S.A.S.,INVIMA 2015M-0016605,11/25/2015,12/14/2020,Vigente,20091271,1,60.0,PRESENTACION COMERCIAL: CAJA PLEGADIZA POR 1 FRASCO EN HDPE CON SELLO DE INDUCCIÓN ALUMINIO Y POLIETILENO. TAPA DE POLIPROPILENO CON LINER DE POLIOLEFINA ESPUMA / PAPEL / CERA POR 60 CÁPSULAS.,Activo,08/28/2015,,No,U,L01XE16,CRIZOTINIB,ORAL,A,CRIZOTINIB,mg,250.0,CAPSULA DURA,CAPSULA DURA,PFIZER MANUFACTURING DEUTSCHLAND GMBH,FABRICANTE,IMPORTAR Y VENDER
163,19999738,VANBIOTIC ®,VITALIS S.A. C.I.,INVIMA 2009M-0009932,08/13/2009,08/26/2019,Vigente,19999738,7,20.0,CAJA POR 20 FRASCOS VIALES POR 500 MG DE POLVO C/U,Activo,12/09/2008,,No,U,J01XA01,VANCOMICINA,INTRAVENOSA,A,VANCOMICINA CLORHIDRATO 512.6MG EQUIVALENTE A VANCOMICINA,mg,500.0,FRASCO VIAL,POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE,VITALIS S.A.C.I. PLANTA 2,FABRICANTE,FABRICAR Y VENDER
164,20082483,UNIFILM®,PHARMADERM S.A.,INVIMA 2015M-0016152,08/13/2015,09/14/2020,Vigente,20082483,8,1.0,FRASCO EN PEAD CON TAPA DISC TOP EN PP POR 120 GRAMOS,Inactivo,07/23/2015,07/23/2015,No,U,D07AA02,HIDROCORTISONA,TOPICA (EXTERNA),B,HIDROCORTISONA BASE,g,1.0,CADA 100 G DE CREMA CONTIENE:,CREMA TOPICA,COLOMPACK S.A.,FABRICANTE,FABRICAR Y VENDER
165,20029033,SULBUTIAMINA TABLETA RECUBIERTA X 200 MG,LABORATORIOS ECAR S.A.,INVIMA 2018M-0012590-R1,10/24/2011,06/25/2023,Vigente,20029033,3,20.0,CAJA DE CARTÓN BLANCO X 20 TABLETAS RECUBIERTAS EN BLISTER PVC TRANSPARENTE/ALUMINIO POR 10 TABLETAS BLISTER,Activo,07/11/2011,,No,U,A11DA02,SULBUTIAMINA,ORAL,A,SULBUTIAMINA,mg,200.0,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIOS ECAR S.A.,FABRICANTE,FABRICAR Y VENDER
166,20086885,MOVIPREN® ULTRA TABLETAS RECUBIERTAS,LABORATORIOS BUSSIÉ S.A.,INVIMA 2015M-0016464,10/26/2015,11/13/2020,Vigente,20086885,10,10.0,USO INSTITUCIONAL - CAJA POR 10 TABLETAS RECUBIERTAS EN BLÍSTER PVC/PVDC/ALUMINIO,Activo,03/10/2017,,No,U,M03BX05,TIOCOLCHICOSIDA,ORAL,A,IBUPROFENO COMPRESION DIRECTA 66% (909.09 MG EQUIVALENTE A 600MG),mg,600.0,TABLETA,TABLETA RECUBIERTA,LABORATORIOS BUSSIÉ S.A.,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
167,20015204,GESTAVIT DHA,PROCAPS S.A.,INVIMA 2015M-0010993-R1,06/21/2010,09/11/2020,Vigente,20015204,7,1.0,CAJA X 100 CAPSULAS BLANDAS CON CUBIERTA ENTERICA EN 10 BLISTER AL/ PVDC X 10 CAPSULAS C/U,Activo,03/24/2010,,No,U,A11AA01,MULTIVITAMINAS MAS HIERRO,ORAL,A,DL-ALFA TOCOFERIL ACETATO / VITAMINA E SINTETICA. EQUIVALENTE A 10 UI DE VITAMINA E,mg,10.0,,CÁPSULA BLANDA DE GELATINA CON CUBIERTA ENTÉRICA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER
168,20078821,OPTILUB® TEARSGEL,TECNOQUIMICAS S.A.,INVIMA 2018M-0018654,12/18/2018,01/29/2024,Vigente,20078821,2,1.0,MUESTRA MÉDICA: CAJA PLEGADIZA CON FRASCO GOTERO EN PEBD VERDE POR 15 ML CON TAPA DE SEGURIDAD EN POLIPROPILENO VERDE Y SUBTAPA CAPILAR VERDE 128-S,Activo,04/25/2018,,Si,U,S01XA20,LAGRIMAS ARTIFICIALES Y OTRAS PREPARACIONES INDIFERENTES,OFTÁLMICA,C,CARBOXIMETILCELULOSA SÓDICA,mg,10.0,1 ML DE SOLUCIÓN OFTÁLMICA,SOLUCION OFTALMICA,TECNOFAR TQ S.A.S,FABRICANTE,FABRICAR Y VENDER
